"Step","train-BERT8 - best_test_qwk_low","train-BERT8 - best_test_qwk_low__MIN","train-BERT8 - best_test_qwk_low__MAX","train-BERT7 - best_test_qwk_low","train-BERT7 - best_test_qwk_low__MIN","train-BERT7 - best_test_qwk_low__MAX","train-BERT6 - best_test_qwk_low","train-BERT6 - best_test_qwk_low__MIN","train-BERT6 - best_test_qwk_low__MAX","train-BERT5 - best_test_qwk_low","train-BERT5 - best_test_qwk_low__MIN","train-BERT5 - best_test_qwk_low__MAX","train-BERT4 - best_test_qwk_low","train-BERT4 - best_test_qwk_low__MIN","train-BERT4 - best_test_qwk_low__MAX","train-BERT3 - best_test_qwk_low","train-BERT3 - best_test_qwk_low__MIN","train-BERT3 - best_test_qwk_low__MAX","train-BERT2 - best_test_qwk_low","train-BERT2 - best_test_qwk_low__MIN","train-BERT2 - best_test_qwk_low__MAX","train-BERT1 - best_test_qwk_low","train-BERT1 - best_test_qwk_low__MIN","train-BERT1 - best_test_qwk_low__MAX"
"0","0.4471775864388981","0.4471775864388981","0.4471775864388981","0.5864173589854493","0.5864173589854493","0.5864173589854493","0.6360096869608409","0.6360096869608409","0.6360096869608409","0.6498182609274405","0.6498182609274405","0.6498182609274405","0.5907721021558014","0.5907721021558014","0.5907721021558014","0.581114210139291","0.581114210139291","0.581114210139291","0.5269407478711112","0.5269407478711112","0.5269407478711112","0.416293751713845","0.416293751713845","0.416293751713845"
"1","0.5193087826202636","0.5193087826202636","0.5193087826202636","0.5064557241994645","0.5064557241994645","0.5064557241994645","0.557829629386656","0.557829629386656","0.557829629386656","0.45469296505967616","0.45469296505967616","0.45469296505967616","0.5345123125379327","0.5345123125379327","0.5345123125379327","0.5073555839230606","0.5073555839230606","0.5073555839230606","0.36663759238734817","0.36663759238734817","0.36663759238734817","0.38252763131503875","0.38252763131503875","0.38252763131503875"
"2","0.31429496711731386","0.31429496711731386","0.31429496711731386","0.499303814600609","0.499303814600609","0.499303814600609","0.45897448199079355","0.45897448199079355","0.45897448199079355","0.4022491892144864","0.4022491892144864","0.4022491892144864","0.5232962241267254","0.5232962241267254","0.5232962241267254","0.4839551474594914","0.4839551474594914","0.4839551474594914","0.2592890112444758","0.2592890112444758","0.2592890112444758","0.3992934517323498","0.3992934517323498","0.3992934517323498"
"3","0.2749563567538551","0.2749563567538551","0.2749563567538551","0.5062941074078814","0.5062941074078814","0.5062941074078814","0.43685451802650654","0.43685451802650654","0.43685451802650654","0.41700622310838575","0.41700622310838575","0.41700622310838575","0.5067342324333716","0.5067342324333716","0.5067342324333716","0.48311248448592226","0.48311248448592226","0.48311248448592226","0.22395759516993108","0.22395759516993108","0.22395759516993108","0.39754887404715855","0.39754887404715855","0.39754887404715855"
"4","0.2528810335981083","0.2528810335981083","0.2528810335981083","0.3383927034685228","0.3383927034685228","0.3383927034685228","0.20006299653519066","0.20006299653519066","0.20006299653519066","0.45696325382197645","0.45696325382197645","0.45696325382197645","0.47092811914916916","0.47092811914916916","0.47092811914916916","0.4210481169920547","0.4210481169920547","0.4210481169920547","0.1646707365821699","0.1646707365821699","0.1646707365821699","0.2914146942696093","0.2914146942696093","0.2914146942696093"
"5","0.18900996941455328","0.18900996941455328","0.18900996941455328","0.33003434854114766","0.33003434854114766","0.33003434854114766","0.03398308606678446","0.03398308606678446","0.03398308606678446","0.4940173472242795","0.4940173472242795","0.4940173472242795","0.16868894501582762","0.16868894501582762","0.16868894501582762","0.4069018797186369","0.4069018797186369","0.4069018797186369","0.09574483336130246","0.09574483336130246","0.09574483336130246","0.1832364830552966","0.1832364830552966","0.1832364830552966"
"6","0.15044629430340561","0.15044629430340561","0.15044629430340561","0.34904280725491554","0.34904280725491554","0.34904280725491554","-0.058957159313467906","-0.058957159313467906","-0.058957159313467906","0.37293252400680854","0.37293252400680854","0.37293252400680854","0.000010972720085322685","0.000010972720085322685","0.000010972720085322685","0.3519305444104932","0.3519305444104932","0.3519305444104932","0.07480849780641273","0.07480849780641273","0.07480849780641273","0.22358078173535267","0.22358078173535267","0.22358078173535267"
"7","0.08753935397054091","0.08753935397054091","0.08753935397054091","0.2077296397011682","0.2077296397011682","0.2077296397011682","0.014073330265549577","0.014073330265549577","0.014073330265549577","0.3548161610513071","0.3548161610513071","0.3548161610513071","-0.1659466503659932","-0.1659466503659932","-0.1659466503659932","0.20665045998057063","0.20665045998057063","0.20665045998057063","0.08474757672481138","0.08474757672481138","0.08474757672481138","0.16145770104301116","0.16145770104301116","0.16145770104301116"
"8","0.016318120488226784","0.016318120488226784","0.016318120488226784","0.3226816809422176","0.3226816809422176","0.3226816809422176","0.01365205027840588","0.01365205027840588","0.01365205027840588","0.1940935142673902","0.1940935142673902","0.1940935142673902","-0.3691278409636507","-0.3691278409636507","-0.3691278409636507","0.17165522413892564","0.17165522413892564","0.17165522413892564","0.028948479399577898","0.028948479399577898","0.028948479399577898","0.0421709224892598","0.0421709224892598","0.0421709224892598"
"9","0","0","0","0.24440838031749865","0.24440838031749865","0.24440838031749865","-0.02799745736863546","-0.02799745736863546","-0.02799745736863546","0.21695955987242432","0.21695955987242432","0.21695955987242432","-0.32922911806147437","-0.32922911806147437","-0.32922911806147437","0.19173588796449004","0.19173588796449004","0.19173588796449004","0.010087489817855455","0.010087489817855455","0.010087489817855455","0.07062705464193786","0.07062705464193786","0.07062705464193786"