"Step","train-deBERTa8 - best_test_qwk_low","train-deBERTa8 - best_test_qwk_low__MIN","train-deBERTa8 - best_test_qwk_low__MAX","train-deBERTa7 - best_test_qwk_low","train-deBERTa7 - best_test_qwk_low__MIN","train-deBERTa7 - best_test_qwk_low__MAX","train-deBERTa6 - best_test_qwk_low","train-deBERTa6 - best_test_qwk_low__MIN","train-deBERTa6 - best_test_qwk_low__MAX","train-deBERTa5 - best_test_qwk_low","train-deBERTa5 - best_test_qwk_low__MIN","train-deBERTa5 - best_test_qwk_low__MAX","train-deBERTa4 - best_test_qwk_low","train-deBERTa4 - best_test_qwk_low__MIN","train-deBERTa4 - best_test_qwk_low__MAX","train-deBERTa3 - best_test_qwk_low","train-deBERTa3 - best_test_qwk_low__MIN","train-deBERTa3 - best_test_qwk_low__MAX","train-deBERTa2 - best_test_qwk_low","train-deBERTa2 - best_test_qwk_low__MIN","train-deBERTa2 - best_test_qwk_low__MAX","train-deBERTa1 - best_test_qwk_low","train-deBERTa1 - best_test_qwk_low__MIN","train-deBERTa1 - best_test_qwk_low__MAX"
"0","0.36008835331147493","0.36008835331147493","0.36008835331147493","0.5260807471793482","0.5260807471793482","0.5260807471793482","0.6089105714199115","0.6089105714199115","0.6089105714199115","0.7069357138582231","0.7069357138582231","0.7069357138582231","0.6089815533730503","0.6089815533730503","0.6089815533730503","0","0","0","0.5384203009808253","0.5384203009808253","0.5384203009808253","0.394608265818158","0.394608265818158","0.394608265818158"
"1","0.42765327405986997","0.42765327405986997","0.42765327405986997","0.5689321365800994","0.5689321365800994","0.5689321365800994","0.5439442763911035","0.5439442763911035","0.5439442763911035","0.6325079072513131","0.6325079072513131","0.6325079072513131","0.5391848730275002","0.5391848730275002","0.5391848730275002","0.501526415243785","0.501526415243785","0.501526415243785","0.3176375539814892","0.3176375539814892","0.3176375539814892","0.4165356825651536","0.4165356825651536","0.4165356825651536"
"2","0.16147364794740438","0.16147364794740438","0.16147364794740438","0.5436479333108188","0.5436479333108188","0.5436479333108188","0.48536213619778446","0.48536213619778446","0.48536213619778446","0.6159325422215143","0.6159325422215143","0.6159325422215143","0.5128515103151032","0.5128515103151032","0.5128515103151032","0.4877838503670748","0.4877838503670748","0.4877838503670748","0.2133614783300927","0.2133614783300927","0.2133614783300927","0.3684321086608796","0.3684321086608796","0.3684321086608796"
"3","0.2557562132725363","0.2557562132725363","0.2557562132725363","0.511183346103697","0.511183346103697","0.511183346103697","0.46048736026419335","0.46048736026419335","0.46048736026419335","0.5872696557761989","0.5872696557761989","0.5872696557761989","0.4826915497009742","0.4826915497009742","0.4826915497009742","0.44533046471241866","0.44533046471241866","0.44533046471241866","0.17831383449373017","0.17831383449373017","0.17831383449373017","0.37616978765255116","0.37616978765255116","0.37616978765255116"
"4","0.21794389204289907","0.21794389204289907","0.21794389204289907","0.3398566112932483","0.3398566112932483","0.3398566112932483","0.3577531055369878","0.3577531055369878","0.3577531055369878","0.562631216396052","0.562631216396052","0.562631216396052","0","0","0","0.4215714379990759","0.4215714379990759","0.4215714379990759","0","0","0","0.3510264152088486","0.3510264152088486","0.3510264152088486"
"5","0.13692345130614436","0.13692345130614436","0.13692345130614436","0.0960145063038702","0.0960145063038702","0.0960145063038702","0.06272529108405545","0.06272529108405545","0.06272529108405545","0.4913876552103399","0.4913876552103399","0.4913876552103399","0.1117421930187399","0.1117421930187399","0.1117421930187399","0.377552935675173","0.377552935675173","0.377552935675173","0.08488612836438936","0.08488612836438936","0.08488612836438936","0.3347469994426546","0.3347469994426546","0.3347469994426546"
"6","0.1094634446843209","0.1094634446843209","0.1094634446843209","0.13515980359233482","0.13515980359233482","0.13515980359233482","-0.0019978771231417003","-0.0019978771231417003","-0.0019978771231417003","0.3393865924038282","0.3393865924038282","0.3393865924038282","0.04902447594075143","0.04902447594075143","0.04902447594075143","0.3644863568134701","0.3644863568134701","0.3644863568134701","0.0683625755471019","0.0683625755471019","0.0683625755471019","0.32989493214174737","0.32989493214174737","0.32989493214174737"
"7","0","0","0","-0.0765124280036582","-0.0765124280036582","-0.0765124280036582","-0.028390787901961142","-0.028390787901961142","-0.028390787901961142","0.3325125570240387","0.3325125570240387","0.3325125570240387","-0.28129086877504594","-0.28129086877504594","-0.28129086877504594","0.2812949922359187","0.2812949922359187","0.2812949922359187","0.05479542364268153","0.05479542364268153","0.05479542364268153","0.007934648317660664","0.007934648317660664","0.007934648317660664"
"8","0.04776134305907942","0.04776134305907942","0.04776134305907942","-0.032145741343233336","-0.032145741343233336","-0.032145741343233336","-0.011457067230977946","-0.011457067230977946","-0.011457067230977946","0.23701049398515484","0.23701049398515484","0.23701049398515484","-0.43922940972216207","-0.43922940972216207","-0.43922940972216207","0.20376706342631923","0.20376706342631923","0.20376706342631923","0.031679653330003776","0.031679653330003776","0.031679653330003776","0.04901432359217428","0.04901432359217428","0.04901432359217428"
"9","0","0","0","0.07654588991301425","0.07654588991301425","0.07654588991301425","-0.0825845363587161","-0.0825845363587161","-0.0825845363587161","0.1542818308171109","0.1542818308171109","0.1542818308171109","-0.44806146202875263","-0.44806146202875263","-0.44806146202875263","0.18573610969721588","0.18573610969721588","0.18573610969721588","0.020621925148666453","0.020621925148666453","0.020621925148666453","0.04416781368075329","0.04416781368075329","0.04416781368075329"