"Step","debertav3large-DVRL-nodev1 - best_test_qwk_high","debertav3large-DVRL-nodev1 - best_test_qwk_high__MIN","debertav3large-DVRL-nodev1 - best_test_qwk_high__MAX","debertav3large-DVRL-nodev2 - best_test_qwk_high","debertav3large-DVRL-nodev2 - best_test_qwk_high__MIN","debertav3large-DVRL-nodev2 - best_test_qwk_high__MAX","debertav3large-DVRL-nodev3 - best_test_qwk_high","debertav3large-DVRL-nodev3 - best_test_qwk_high__MIN","debertav3large-DVRL-nodev3 - best_test_qwk_high__MAX","debertav3large-DVRL-nodev4 - best_test_qwk_high","debertav3large-DVRL-nodev4 - best_test_qwk_high__MIN","debertav3large-DVRL-nodev4 - best_test_qwk_high__MAX","debertav3large-DVRL-nodev5 - best_test_qwk_high","debertav3large-DVRL-nodev5 - best_test_qwk_high__MIN","debertav3large-DVRL-nodev5 - best_test_qwk_high__MAX","debertav3large-DVRL-nodev6 - best_test_qwk_high","debertav3large-DVRL-nodev6 - best_test_qwk_high__MIN","debertav3large-DVRL-nodev6 - best_test_qwk_high__MAX","debertav3large-DVRL-nodev7 - best_test_qwk_high","debertav3large-DVRL-nodev7 - best_test_qwk_high__MIN","debertav3large-DVRL-nodev7 - best_test_qwk_high__MAX","debertav3large-DVRL-nodev8 - best_test_qwk_high","debertav3large-DVRL-nodev8 - best_test_qwk_high__MIN","debertav3large-DVRL-nodev8 - best_test_qwk_high__MAX"
"0","0.36079349912089975","0.36079349912089975","0.36079349912089975","0.47357247210787307","0.47357247210787307","0.47357247210787307","0.5774680479681704","0.5774680479681704","0.5774680479681704","0.6097231031184704","0.6097231031184704","0.6097231031184704","0.7238495987709894","0.7238495987709894","0.7238495987709894","0.6028171645850211","0.6028171645850211","0.6028171645850211","0.5327248356252978","0.5327248356252978","0.5327248356252978","0.3654924255593338","0.3654924255593338","0.3654924255593338"
"1","0.4254955630305524","0.4254955630305524","0.4254955630305524","0.44519197456180604","0.44519197456180604","0.44519197456180604","0","0","0","0.593958619383552","0.593958619383552","0.593958619383552","0.7497028157155139","0.7497028157155139","0.7497028157155139","0.6597957387380282","0.6597957387380282","0.6597957387380282","0.5025046535336144","0.5025046535336144","0.5025046535336144","0.35960382626386345","0.35960382626386345","0.35960382626386345"
"2","0.41767804549509036","0.41767804549509036","0.41767804549509036","0.4570587864597725","0.4570587864597725","0.4570587864597725","0.621086067185902","0.621086067185902","0.621086067185902","0.6007545096489182","0.6007545096489182","0.6007545096489182","0.751066402934566","0.751066402934566","0.751066402934566","0.6442400121025165","0.6442400121025165","0.6442400121025165","0.4706182621001764","0.4706182621001764","0.4706182621001764","0.46853590011011725","0.46853590011011725","0.46853590011011725"
"3","0.4677228691017992","0.4677228691017992","0.4677228691017992","0.4209536245694575","0.4209536245694575","0.4209536245694575","0.6211555731156909","0.6211555731156909","0.6211555731156909","0.6239748775849165","0.6239748775849165","0.6239748775849165","0.7586360622223631","0.7586360622223631","0.7586360622223631","0.6447512326389726","0.6447512326389726","0.6447512326389726","0.48184027450510325","0.48184027450510325","0.48184027450510325","0.618624866405415","0.618624866405415","0.618624866405415"
"4","0.4772267378152917","0.4772267378152917","0.4772267378152917","0.4633645244905684","0.4633645244905684","0.4633645244905684","0.6013954838898212","0.6013954838898212","0.6013954838898212","0.6068612654561206","0.6068612654561206","0.6068612654561206","0.7265264886026395","0.7265264886026395","0.7265264886026395","0.6037863074575773","0.6037863074575773","0.6037863074575773","0.49825160364768734","0.49825160364768734","0.49825160364768734","0.5990664567967154","0.5990664567967154","0.5990664567967154"
"5","0.4608743889305035","0.4608743889305035","0.4608743889305035","0.43961326218816976","0.43961326218816976","0.43961326218816976","0.6322409104337792","0.6322409104337792","0.6322409104337792","0.6359135450553328","0.6359135450553328","0.6359135450553328","0.7802141178710305","0.7802141178710305","0.7802141178710305","0.5855483138941332","0.5855483138941332","0.5855483138941332","0.4923336300396774","0.4923336300396774","0.4923336300396774","0.561243406948382","0.561243406948382","0.561243406948382"
"6","0.4113336431962933","0.4113336431962933","0.4113336431962933","0.5638296501846083","0.5638296501846083","0.5638296501846083","0.6401224322056268","0.6401224322056268","0.6401224322056268","0.6231815899971406","0.6231815899971406","0.6231815899971406","0.7215714773734843","0.7215714773734843","0.7215714773734843","0.5410510752391566","0.5410510752391566","0.5410510752391566","0.5655263068391048","0.5655263068391048","0.5655263068391048","0.32366834630484387","0.32366834630484387","0.32366834630484387"
"7","0.3311281748255498","0.3311281748255498","0.3311281748255498","0.471863646121505","0.471863646121505","0.471863646121505","0.6653019177557107","0.6653019177557107","0.6653019177557107","0.6608536350056692","0.6608536350056692","0.6608536350056692","0.7399033336333296","0.7399033336333296","0.7399033336333296","0.39687330527636233","0.39687330527636233","0.39687330527636233","0.3846006891855078","0.3846006891855078","0.3846006891855078","0.3256259278544985","0.3256259278544985","0.3256259278544985"
"8","0.45837412452283277","0.45837412452283277","0.45837412452283277","0.4720605323604919","0.4720605323604919","0.4720605323604919","0.6818990963812881","0.6818990963812881","0.6818990963812881","0.6318074321878371","0.6318074321878371","0.6318074321878371","0.559916231088766","0.559916231088766","0.559916231088766","0.41961856587011764","0.41961856587011764","0.41961856587011764","0.4105417367734774","0.4105417367734774","0.4105417367734774","0.22834144032764034","0.22834144032764034","0.22834144032764034"
"9","0.35007432353885287","0.35007432353885287","0.35007432353885287","0.4359461716514844","0.4359461716514844","0.4359461716514844","0.6707519978584895","0.6707519978584895","0.6707519978584895","0.6280686363649568","0.6280686363649568","0.6280686363649568","0.2894462275193487","0.2894462275193487","0.2894462275193487","0.4832335168317897","0.4832335168317897","0.4832335168317897","0.5398487802985495","0.5398487802985495","0.5398487802985495","0.06842357750319905","0.06842357750319905","0.06842357750319905"