"Step","debertav3large-DVRL-nodev1 - best_test_qwk_low","debertav3large-DVRL-nodev1 - best_test_qwk_low__MIN","debertav3large-DVRL-nodev1 - best_test_qwk_low__MAX","debertav3large-DVRL-nodev2 - best_test_qwk_low","debertav3large-DVRL-nodev2 - best_test_qwk_low__MIN","debertav3large-DVRL-nodev2 - best_test_qwk_low__MAX","debertav3large-DVRL-nodev3 - best_test_qwk_low","debertav3large-DVRL-nodev3 - best_test_qwk_low__MIN","debertav3large-DVRL-nodev3 - best_test_qwk_low__MAX","debertav3large-DVRL-nodev4 - best_test_qwk_low","debertav3large-DVRL-nodev4 - best_test_qwk_low__MIN","debertav3large-DVRL-nodev4 - best_test_qwk_low__MAX","debertav3large-DVRL-nodev5 - best_test_qwk_low","debertav3large-DVRL-nodev5 - best_test_qwk_low__MIN","debertav3large-DVRL-nodev5 - best_test_qwk_low__MAX","debertav3large-DVRL-nodev6 - best_test_qwk_low","debertav3large-DVRL-nodev6 - best_test_qwk_low__MIN","debertav3large-DVRL-nodev6 - best_test_qwk_low__MAX","debertav3large-DVRL-nodev7 - best_test_qwk_low","debertav3large-DVRL-nodev7 - best_test_qwk_low__MIN","debertav3large-DVRL-nodev7 - best_test_qwk_low__MAX","debertav3large-DVRL-nodev8 - best_test_qwk_low","debertav3large-DVRL-nodev8 - best_test_qwk_low__MIN","debertav3large-DVRL-nodev8 - best_test_qwk_low__MAX"
"0","0.4250359804531208","0.4250359804531208","0.4250359804531208","0.41693990967990346","0.41693990967990346","0.41693990967990346","0.5970055525137807","0.5970055525137807","0.5970055525137807","0.6174278733521557","0.6174278733521557","0.6174278733521557","0.7104221999795086","0.7104221999795086","0.7104221999795086","0.6130705758309958","0.6130705758309958","0.6130705758309958","0.5293735158746309","0.5293735158746309","0.5293735158746309","0.3624297605463358","0.3624297605463358","0.3624297605463358"
"1","0.4200095002093349","0.4200095002093349","0.4200095002093349","0.49063304020728304","0.49063304020728304","0.49063304020728304","0.5183237694334284","0.5183237694334284","0.5183237694334284","0.5648181060039095","0.5648181060039095","0.5648181060039095","0.6578404698109239","0.6578404698109239","0.6578404698109239","0.6227682904682283","0.6227682904682283","0.6227682904682283","0.5747979419813484","0.5747979419813484","0.5747979419813484","0.46600723615343254","0.46600723615343254","0.46600723615343254"
"2","0.3756136245850567","0.3756136245850567","0.3756136245850567","0.33172238967235995","0.33172238967235995","0.33172238967235995","0.4771963302752293","0.4771963302752293","0.4771963302752293","0.615696796232426","0.615696796232426","0.615696796232426","0.5370410958904109","0.5370410958904109","0.5370410958904109","0.5596083696724136","0.5596083696724136","0.5596083696724136","0.6602844137149882","0.6602844137149882","0.6602844137149882","0.4037853266928732","0.4037853266928732","0.4037853266928732"
"3","0.313981479674318","0.313981479674318","0.313981479674318","0.34451072676899885","0.34451072676899885","0.34451072676899885","0.49005099736851115","0.49005099736851115","0.49005099736851115","0.6006694656037607","0.6006694656037607","0.6006694656037607","0.5863083055861258","0.5863083055861258","0.5863083055861258","0.638386779504676","0.638386779504676","0.638386779504676","0.6957762636482164","0.6957762636482164","0.6957762636482164","0.491808380838919","0.491808380838919","0.491808380838919"
"4","0.5041069683773565","0.5041069683773565","0.5041069683773565","0.22978533232651688","0.22978533232651688","0.22978533232651688","0.4208518492393782","0.4208518492393782","0.4208518492393782","0.5064263264079935","0.5064263264079935","0.5064263264079935","0.48414810814280473","0.48414810814280473","0.48414810814280473","0.6313869488872184","0.6313869488872184","0.6313869488872184","0.7169125162056446","0.7169125162056446","0.7169125162056446","0.3916657062634564","0.3916657062634564","0.3916657062634564"
"5","0.5439020986946452","0.5439020986946452","0.5439020986946452","0.16587017067221932","0.16587017067221932","0.16587017067221932","0.3621615043680988","0.3621615043680988","0.3621615043680988","0.6015931909726644","0.6015931909726644","0.6015931909726644","0.4477866147986721","0.4477866147986721","0.4477866147986721","0.5818186591124133","0.5818186591124133","0.5818186591124133","0.6781518136764129","0.6781518136764129","0.6781518136764129","0.25375255538362285","0.25375255538362285","0.25375255538362285"
"6","0.5501269715505136","0.5501269715505136","0.5501269715505136","0.11034610382861354","0.11034610382861354","0.11034610382861354","0.3605768640571425","0.3605768640571425","0.3605768640571425","0.3568326161865034","0.3568326161865034","0.3568326161865034","0.22325079205543832","0.22325079205543832","0.22325079205543832","0.544457463713711","0.544457463713711","0.544457463713711","0.6920862537001932","0.6920862537001932","0.6920862537001932","0.26496076969500615","0.26496076969500615","0.26496076969500615"
"7","0.2165582084699265","0.2165582084699265","0.2165582084699265","0.08107146936859934","0.08107146936859934","0.08107146936859934","0.2425600951637652","0.2425600951637652","0.2425600951637652","0.27405041831355825","0.27405041831355825","0.27405041831355825","0.20976554595125896","0.20976554595125896","0.20976554595125896","0.5326291700581667","0.5326291700581667","0.5326291700581667","0.6858357722338351","0.6858357722338351","0.6858357722338351","0.14783838162330165","0.14783838162330165","0.14783838162330165"
"8","0.3068620535848288","0.3068620535848288","0.3068620535848288","0.05033552664870011","0.05033552664870011","0.05033552664870011","0.3252101579416077","0.3252101579416077","0.3252101579416077","-0.05021410171705565","-0.05021410171705565","-0.05021410171705565","0.2682438253131887","0.2682438253131887","0.2682438253131887","0.3268175779403161","0.3268175779403161","0.3268175779403161","0.6085151443417798","0.6085151443417798","0.6085151443417798","0.09887440749962928","0.09887440749962928","0.09887440749962928"
"9","0.10786573015696554","0.10786573015696554","0.10786573015696554","0.01753435963723815","0.01753435963723815","0.01753435963723815","0.12947531342101493","0.12947531342101493","0.12947531342101493","-0.2159910570358794","-0.2159910570358794","-0.2159910570358794","0.03882194398733707","0.03882194398733707","0.03882194398733707","0.11909105709507295","0.11909105709507295","0.11909105709507295","0.6349736309227101","0.6349736309227101","0.6349736309227101","0.10021047603978839","0.10021047603978839","0.10021047603978839"