"Step","PAES-DVRL(Predictor feature)-nodev1 - best_test_qwk_high","PAES-DVRL(Predictor feature)-nodev1 - best_test_qwk_high__MIN","PAES-DVRL(Predictor feature)-nodev1 - best_test_qwk_high__MAX","PAES-DVRL(Predictor feature)-nodev2 - best_test_qwk_high","PAES-DVRL(Predictor feature)-nodev2 - best_test_qwk_high__MIN","PAES-DVRL(Predictor feature)-nodev2 - best_test_qwk_high__MAX","PAES-DVRL(Predictor feature)-nodev3 - best_test_qwk_high","PAES-DVRL(Predictor feature)-nodev3 - best_test_qwk_high__MIN","PAES-DVRL(Predictor feature)-nodev3 - best_test_qwk_high__MAX","PAES-DVRL(Predictor feature)-nodev4 - best_test_qwk_high","PAES-DVRL(Predictor feature)-nodev4 - best_test_qwk_high__MIN","PAES-DVRL(Predictor feature)-nodev4 - best_test_qwk_high__MAX","PAES-DVRL(Predictor feature)-nodev5 - best_test_qwk_high","PAES-DVRL(Predictor feature)-nodev5 - best_test_qwk_high__MIN","PAES-DVRL(Predictor feature)-nodev5 - best_test_qwk_high__MAX","PAES-DVRL(Predictor feature)-nodev6 - best_test_qwk_high","PAES-DVRL(Predictor feature)-nodev6 - best_test_qwk_high__MIN","PAES-DVRL(Predictor feature)-nodev6 - best_test_qwk_high__MAX","PAES-DVRL(Predictor feature)-nodev7 - best_test_qwk_high","PAES-DVRL(Predictor feature)-nodev7 - best_test_qwk_high__MIN","PAES-DVRL(Predictor feature)-nodev7 - best_test_qwk_high__MAX","PAES-DVRL(Predictor feature)-nodev8 - best_test_qwk_high","PAES-DVRL(Predictor feature)-nodev8 - best_test_qwk_high__MIN","PAES-DVRL(Predictor feature)-nodev8 - best_test_qwk_high__MAX"
"0","0.7563024738078554","0.7563024738078554","0.7563024738078554","0.5958607512636255","0.5958607512636255","0.5958607512636255","0.6098727239466263","0.6098727239466263","0.6098727239466263","0.5953408711947596","0.5953408711947596","0.5953408711947596","0.6878337216931849","0.6878337216931849","0.6878337216931849","0.5656372224451167","0.5656372224451167","0.5656372224451167","0.7067172892287543","0.7067172892287543","0.7067172892287543","0.538130901860161","0.538130901860161","0.538130901860161"
"1","0.7396986469759828","0.7396986469759828","0.7396986469759828","0.6138507438897438","0.6138507438897438","0.6138507438897438","0.5877117242158436","0.5877117242158436","0.5877117242158436","0.6004534512215416","0.6004534512215416","0.6004534512215416","0.7263510077897777","0.7263510077897777","0.7263510077897777","0.6124057542098755","0.6124057542098755","0.6124057542098755","0.7373704901409457","0.7373704901409457","0.7373704901409457","0.5100895363386735","0.5100895363386735","0.5100895363386735"
"2","0.8022340977608688","0.8022340977608688","0.8022340977608688","0.5976888677826586","0.5976888677826586","0.5976888677826586","0.619583110001928","0.619583110001928","0.619583110001928","0.6072160783887434","0.6072160783887434","0.6072160783887434","0.7223354214015199","0.7223354214015199","0.7223354214015199","0.6298238844174596","0.6298238844174596","0.6298238844174596","0.7353486784148301","0.7353486784148301","0.7353486784148301","0.47858916115185124","0.47858916115185124","0.47858916115185124"
"3","0.7920938117520936","0.7920938117520936","0.7920938117520936","0.5995603952055877","0.5995603952055877","0.5995603952055877","0.6327496936372794","0.6327496936372794","0.6327496936372794","0.6073718101394605","0.6073718101394605","0.6073718101394605","0.7485568580231612","0.7485568580231612","0.7485568580231612","0.6330296142398448","0.6330296142398448","0.6330296142398448","0.7167054577816601","0.7167054577816601","0.7167054577816601","0.4686501234810529","0.4686501234810529","0.4686501234810529"
"4","0.7938155360257297","0.7938155360257297","0.7938155360257297","0.5754913775700591","0.5754913775700591","0.5754913775700591","0.5848152778451725","0.5848152778451725","0.5848152778451725","0.6530862604889299","0.6530862604889299","0.6530862604889299","0.7468052360344708","0.7468052360344708","0.7468052360344708","0.6028174178676878","0.6028174178676878","0.6028174178676878","0.5648581246681513","0.5648581246681513","0.5648581246681513","0.2695741558155169","0.2695741558155169","0.2695741558155169"
"5","0.7938063516267302","0.7938063516267302","0.7938063516267302","0.448047785612414","0.448047785612414","0.448047785612414","0.6619736996414234","0.6619736996414234","0.6619736996414234","0.6234998076885467","0.6234998076885467","0.6234998076885467","0.7027923322231886","0.7027923322231886","0.7027923322231886","0.5731345273437594","0.5731345273437594","0.5731345273437594","0.7096236395649068","0.7096236395649068","0.7096236395649068","0.30751372356321693","0.30751372356321693","0.30751372356321693"
"6","0.7867318577151768","0.7867318577151768","0.7867318577151768","0.4978090982378395","0.4978090982378395","0.4978090982378395","0.6673936571539988","0.6673936571539988","0.6673936571539988","0.6956690657932568","0.6956690657932568","0.6956690657932568","0.7148854747965692","0.7148854747965692","0.7148854747965692","0.6412108399523735","0.6412108399523735","0.6412108399523735","0.6433669298359437","0.6433669298359437","0.6433669298359437","0.27103707774550556","0.27103707774550556","0.27103707774550556"
"7","0.7641682124562088","0.7641682124562088","0.7641682124562088","0.4079774317443397","0.4079774317443397","0.4079774317443397","0.6545478449545749","0.6545478449545749","0.6545478449545749","0.6811360098127095","0.6811360098127095","0.6811360098127095","0.6924198098774683","0.6924198098774683","0.6924198098774683","0.6077642480399793","0.6077642480399793","0.6077642480399793","0.6651752874002226","0.6651752874002226","0.6651752874002226","0.19250234091653284","0.19250234091653284","0.19250234091653284"
"8","0.6632836386623886","0.6632836386623886","0.6632836386623886","0.4407185775297673","0.4407185775297673","0.4407185775297673","0.605542570798719","0.605542570798719","0.605542570798719","0.7049148617798039","0.7049148617798039","0.7049148617798039","0.6933814127907834","0.6933814127907834","0.6933814127907834","0.6036240169484857","0.6036240169484857","0.6036240169484857","0.44291125085993066","0.44291125085993066","0.44291125085993066","0.14646002201048947","0.14646002201048947","0.14646002201048947"
"9","0.3251304513466948","0.3251304513466948","0.3251304513466948","0.1050522589419962","0.1050522589419962","0.1050522589419962","0.5504299689298222","0.5504299689298222","0.5504299689298222","0.5882563807257772","0.5882563807257772","0.5882563807257772","0.5551806643403163","0.5551806643403163","0.5551806643403163","0.5228987017021061","0.5228987017021061","0.5228987017021061","0.0413454240447968","0.0413454240447968","0.0413454240447968","0.07604992631094465","0.07604992631094465","0.07604992631094465"