"Step","train-PAES8 - best_test_qwk_low","train-PAES8 - best_test_qwk_low__MIN","train-PAES8 - best_test_qwk_low__MAX","train-PAES7 - best_test_qwk_low","train-PAES7 - best_test_qwk_low__MIN","train-PAES7 - best_test_qwk_low__MAX","train-PAES6 - best_test_qwk_low","train-PAES6 - best_test_qwk_low__MIN","train-PAES6 - best_test_qwk_low__MAX","train-PAES5 - best_test_qwk_low","train-PAES5 - best_test_qwk_low__MIN","train-PAES5 - best_test_qwk_low__MAX","train-PAES4 - best_test_qwk_low","train-PAES4 - best_test_qwk_low__MIN","train-PAES4 - best_test_qwk_low__MAX","train-PAES3 - best_test_qwk_low","train-PAES3 - best_test_qwk_low__MIN","train-PAES3 - best_test_qwk_low__MAX","train-PAES2 - best_test_qwk_low","train-PAES2 - best_test_qwk_low__MIN","train-PAES2 - best_test_qwk_low__MAX","train-PAES1 - best_test_qwk_low","train-PAES1 - best_test_qwk_low__MIN","train-PAES1 - best_test_qwk_low__MAX"
"0","0.565548869873745","0.565548869873745","0.565548869873745","0.7360180331048582","0.7360180331048582","0.7360180331048582","0.6039037969766614","0.6039037969766614","0.6039037969766614","0.6974153266801763","0.6974153266801763","0.6974153266801763","0.5918886814865094","0.5918886814865094","0.5918886814865094","0.6132854773331993","0.6132854773331993","0.6132854773331993","0.6268733623496652","0.6268733623496652","0.6268733623496652","0.716010410571465","0.716010410571465","0.716010410571465"
"1","0.5378359305268308","0.5378359305268308","0.5378359305268308","0.709388016018132","0.709388016018132","0.709388016018132","0.5727096938679247","0.5727096938679247","0.5727096938679247","0.7116746910980202","0.7116746910980202","0.7116746910980202","0.6166821169793704","0.6166821169793704","0.6166821169793704","0.5735353283112055","0.5735353283112055","0.5735353283112055","0.5862935876731659","0.5862935876731659","0.5862935876731659","0.757143548492087","0.757143548492087","0.757143548492087"
"2","0.523911197043442","0.523911197043442","0.523911197043442","0.6971752926416313","0.6971752926416313","0.6971752926416313","0.6076280544896159","0.6076280544896159","0.6076280544896159","0.7130660449885513","0.7130660449885513","0.7130660449885513","0.6325631816511124","0.6325631816511124","0.6325631816511124","0.6038514590423899","0.6038514590423899","0.6038514590423899","0.6043354467700359","0.6043354467700359","0.6043354467700359","0.7125013646020468","0.7125013646020468","0.7125013646020468"
"3","0.49659468028658604","0.49659468028658604","0.49659468028658604","0.7206293666881617","0.7206293666881617","0.7206293666881617","0.5736441847690557","0.5736441847690557","0.5736441847690557","0.7354149157165284","0.7354149157165284","0.7354149157165284","0.6370838396337803","0.6370838396337803","0.6370838396337803","0.610536909535296","0.610536909535296","0.610536909535296","0.5976634501264256","0.5976634501264256","0.5976634501264256","0.6634223412780521","0.6634223412780521","0.6634223412780521"
"4","0.5279366147853846","0.5279366147853846","0.5279366147853846","0.6963789818867294","0.6963789818867294","0.6963789818867294","0.5298305617638596","0.5298305617638596","0.5298305617638596","0.7293477132693594","0.7293477132693594","0.7293477132693594","0.6268199565939236","0.6268199565939236","0.6268199565939236","0.5992842012701114","0.5992842012701114","0.5992842012701114","0.5762011006990927","0.5762011006990927","0.5762011006990927","0.7466448391374692","0.7466448391374692","0.7466448391374692"
"5","0.4848153218716827","0.4848153218716827","0.4848153218716827","0.707948408556967","0.707948408556967","0.707948408556967","0.583961337171786","0.583961337171786","0.583961337171786","0.7047503637992554","0.7047503637992554","0.7047503637992554","0.6369076833649105","0.6369076833649105","0.6369076833649105","0.5998852645522255","0.5998852645522255","0.5998852645522255","0.48995307803793486","0.48995307803793486","0.48995307803793486","0.6792620383240706","0.6792620383240706","0.6792620383240706"
"6","0.5011722206693555","0.5011722206693555","0.5011722206693555","0.7416246697640192","0.7416246697640192","0.7416246697640192","0.593753250224142","0.593753250224142","0.593753250224142","0.7164620176806635","0.7164620176806635","0.7164620176806635","0.6305621472792076","0.6305621472792076","0.6305621472792076","0.6001952182147081","0.6001952182147081","0.6001952182147081","0.5838462123801941","0.5838462123801941","0.5838462123801941","0.6661514024739572","0.6661514024739572","0.6661514024739572"
"7","0.46120651133969337","0.46120651133969337","0.46120651133969337","0.7230229159822972","0.7230229159822972","0.7230229159822972","0.6066675649935708","0.6066675649935708","0.6066675649935708","0.5340802446863333","0.5340802446863333","0.5340802446863333","0.6081778683539332","0.6081778683539332","0.6081778683539332","0.6447055156622751","0.6447055156622751","0.6447055156622751","0.5704175720594957","0.5704175720594957","0.5704175720594957","0.7419736427381898","0.7419736427381898","0.7419736427381898"
"8","0.4416410944270246","0.4416410944270246","0.4416410944270246","0.6676797889598048","0.6676797889598048","0.6676797889598048","0.5900704940725443","0.5900704940725443","0.5900704940725443","0.6532865466977267","0.6532865466977267","0.6532865466977267","0.6149714715227715","0.6149714715227715","0.6149714715227715","0.6036037689531679","0.6036037689531679","0.6036037689531679","0.5960223097922943","0.5960223097922943","0.5960223097922943","0.6968483794424558","0.6968483794424558","0.6968483794424558"
"9","0.4745531477373621","0.4745531477373621","0.4745531477373621","0.6937454541400201","0.6937454541400201","0.6937454541400201","0.606179883941377","0.606179883941377","0.606179883941377","0.6502849213004251","0.6502849213004251","0.6502849213004251","0.5947533864783787","0.5947533864783787","0.5947533864783787","0.6021939035970973","0.6021939035970973","0.6021939035970973","0.5867631824414651","0.5867631824414651","0.5867631824414651","0.6904796649261998","0.6904796649261998","0.6904796649261998"